Year,HomeTeam,Goal,AwayTeam,Lost,TotalGoals
2010,Chile,1,Switzerland,0,1
2010,Spain,2,Honduras,0,2
2010,Mexico,0,Uruguay,1,1
2010,France,1,South Africa,2,3
2010,Nigeria,2,Korea Republic,2,4
2010,Greece,0,Argentina,2,2
2010,Slovenia,0,England,1,1
2010,USA,1,Algeria,0,1
2010,Ghana,0,Germany,1,1
2010,Australia,2,Serbia,1,3
2010,Slovakia,3,Italy,2,5
2010,Paraguay,0,New Zealand,0,0
2010,Denmark,1,Japan,3,4
2010,Cameroon,1,Netherlands,2,3
2010,Portugal,0,Brazil,0,0
2010,Korea DPR,0,C�te d'Ivoire,3,3
2010,Chile,1,Spain,2,3
2010,Switzerland,0,Honduras,0,0
2010,Uruguay,2,Korea Republic,1,3
2010,USA,1,Ghana,2,3
2010,Germany,4,England,1,5
2010,Argentina,3,Mexico,1,4
2010,Netherlands,2,Slovakia,1,3
2010,Brazil,3,Chile,0,3
2010,Paraguay,0,Japan,0,0
2010,Spain,1,Portugal,0,1
2010,Netherlands,2,Brazil,1,3
2010,Uruguay,1,Ghana,1,2
2010,Argentina,0,Germany,4,4
2010,Paraguay,0,Spain,1,1
2010,Uruguay,2,Netherlands,3,5
2010,Germany,0,Spain,1,1
2010,Uruguay,2,Germany,3,5
2010,Netherlands,0,Spain,1,1
2014,Brazil,3,Croatia,1,4
2014,Mexico,1,Cameroon,0,1
2014,Spain,1,Netherlands,5,6
2014,Chile,3,Australia,1,4
2014,Colombia,3,Greece,0,3
2014,Uruguay,1,Costa Rica,3,4
2014,England,1,Italy,2,3
2014,C�te d'Ivoire,2,Japan,1,3
2014,Switzerland,2,Ecuador,1,3
2014,France,3,Honduras,0,3
2014,Argentina,2,"rn"">Bosnia and Herzegovina",1,3
2014,Germany,4,Portugal,0,4
2014,IR Iran,0,Nigeria,0,0
2014,Ghana,1,USA,2,3
2014,Belgium,2,Algeria,1,3
2014,Brazil,0,Mexico,0,0
2014,Russia,1,Korea Republic,1,2
2014,Australia,2,Netherlands,3,5
2014,Spain,0,Chile,2,2
2014,Cameroon,0,Croatia,4,4
2014,Colombia,2,C�te d'Ivoire,1,3
2014,Uruguay,2,England,1,3
2014,Japan,0,Greece,0,0
2014,Italy,0,Costa Rica,1,1
2014,Switzerland,2,France,5,7
2014,Honduras,1,Ecuador,2,3
2014,Argentina,1,IR Iran,0,1
2014,Germany,2,Ghana,2,4
2014,Nigeria,1,"rn"">Bosnia and Herzegovina",0,1
2014,Belgium,1,Russia,0,1
2014,Korea Republic,2,Algeria,4,6
2014,USA,2,Portugal,2,4
2014,Australia,0,Spain,3,3
2014,Netherlands,2,Chile,0,2
2014,Cameroon,1,Brazil,4,5
2014,Croatia,1,Mexico,3,4
2014,Italy,0,Uruguay,1,1
2014,Costa Rica,0,England,0,0
2014,Japan,1,Colombia,4,5
2014,Greece,2,C�te d'Ivoire,1,3
2014,Nigeria,2,Argentina,3,5
2014,"rn"">Bosnia and Herzegovina",3,IR Iran,1,4
2014,Honduras,0,Switzerland,3,3
2014,Ecuador,0,France,0,0
2014,USA,0,Germany,1,1
2014,Portugal,2,Ghana,1,3
2014,Korea Republic,0,Belgium,1,1
2014,Algeria,1,Russia,1,2
2014,Brazil,1,Chile,1,2
2014,Colombia,2,Uruguay,0,2
2014,France,2,Nigeria,0,2
2014,Germany,2,Algeria,1,3
2014,Brazil,2,Colombia,1,3
2014,France,0,Germany,1,1
2014,Brazil,1,Germany,7,8
2014,Brazil,0,Netherlands,3,3
2014,Germany,1,Argentina,0,1
2014,Netherlands,0,Argentina,0,0
2014,Netherlands,0,Costa Rica,0,0
2014,Argentina,1,Belgium,0,1
2014,Netherlands,2,Mexico,1,3
2014,Costa Rica,1,Greece,1,2
2014,Argentina,1,Switzerland,0,1
2014,Belgium,2,USA,1,3
2014,Brazil,1,Chile,1,2
2014,Colombia,2,Uruguay,0,2
2014,Netherlands,2,Mexico,1,3
2014,Costa Rica,1,Greece,1,2
2014,France,2,Nigeria,0,2
2014,Germany,2,Algeria,1,3
2014,Argentina,1,Switzerland,0,1
2014,Belgium,2,USA,1,3
2014,France,0,Germany,1,1
2014,Brazil,2,Colombia,1,3
2014,Argentina,1,Belgium,0,1
2014,Netherlands,0,Costa Rica,0,0
2014,Brazil,1,Germany,7,8
2014,Netherlands,0,Argentina,0,0
2014,Brazil,0,Netherlands,3,3
2014,Germany,1,Argentina,0,1
